Date,Open,High,Low,Close,Volume
7/8/15,124.48,124.64,122.54,122.57,60761614
7/9/15,123.85,124.06,119.22,120.07,78595038
7/10/15,121.94,123.85,121.21,123.28,61354474
7/13/15,125.03,125.76,124.32,125.66,41440538
7/14/15,126.04,126.37,125.04,125.61,31768139
7/15/15,125.72,127.15,125.58,126.82,33649200
7/16/15,127.74,128.57,127.35,128.51,36222447
7/17/15,129.08,129.62,128.31,129.62,46164710
7/20/15,130.97,132.97,130.7,132.07,58900203
7/21/15,132.85,132.92,130.32,130.75,76756427
7/22/15,121.99,125.5,121.99,125.22,115450607
7/23/15,126.2,127.09,125.06,125.16,50999452
7/24/15,125.32,125.74,123.9,124.5,42162332
7/27/15,123.09,123.61,122.12,122.77,44455540
7/28/15,123.38,123.91,122.55,123.38,33618097
7/29/15,123.15,123.5,122.27,122.99,37011653
7/30/15,122.32,122.57,121.71,122.37,33628268
7/31/15,122.6,122.64,120.91,121.3,42884953
8/3/15,121.5,122.57,117.52,118.44,69975968
8/4/15,117.42,117.7,113.25,114.64,124138623
8/5/15,112.95,117.44,112.1,115.4,99312613
8/6/15,115.97,116.5,114.12,115.13,52903040
8/7/15,114.58,116.25,114.5,115.52,38670405
8/10/15,116.53,119.99,116.53,119.72,54951597
8/11/15,117.81,118.18,113.33,113.49,97082814
8/12/15,112.53,115.42,109.63,115.24,101685610
8/13/15,116.04,116.4,114.54,115.15,48535789
8/14/15,114.32,116.31,114.01,115.96,42929516
8/17/15,116.04,117.65,115.5,117.16,40884745
8/18/15,116.43,117.44,116.01,116.5,34560708
8/19/15,116.1,116.52,114.68,115.01,48286510
8/20/15,114.08,114.35,111.63,112.65,67765523
8/21/15,110.43,111.9,105.64,105.76,126289223
8/24/15,94.87,108.8,92,103.12,161454199
8/25/15,111.11,111.11,103.5,103.74,102240208
8/26/15,107.08,109.89,105.05,109.69,96226269
8/27/15,112.23,113.24,110.02,112.92,83265146
8/28/15,112.17,113.31,111.54,113.29,52896384
8/31/15,112.03,114.53,112,112.76,55962842
9/1/15,110.15,111.88,107.36,107.72,75988194
9/2/15,110.23,112.34,109.13,112.34,61520170
9/3/15,112.49,112.78,110.04,110.37,52906410
9/4/15,108.97,110.45,108.51,109.27,49628615
9/8/15,111.75,112.56,110.32,112.31,54114204
9/9/15,113.76,114.02,109.77,110.15,84344438
9/10/15,110.27,113.28,109.9,112.57,62675234
9/11/15,111.79,114.21,111.76,114.21,49441846
9/14/15,116.58,116.89,114.86,115.31,58201862
9/15/15,115.93,116.53,114.42,116.28,43004052
9/16/15,116.25,116.54,115.44,116.41,36909956
9/17/15,115.66,116.49,113.72,113.92,63462713
9/18/15,112.21,114.3,111.87,113.45,73418992
9/21/15,113.67,115.37,113.66,115.21,46554289
9/22/15,113.38,114.18,112.52,113.4,49809010
9/23/15,113.63,114.72,113.3,114.32,35645658
9/24/15,113.25,115.5,112.37,115,49810647
9/25/15,116.44,116.69,114.02,114.71,55842210
9/28/15,113.85,114.57,112.44,112.44,51723929
9/29/15,112.83,113.51,107.86,109.06,73135853
9/30/15,110.17,111.54,108.73,110.3,66105030
10/1/15,109.07,109.62,107.31,109.58,63747954
10/2/15,108.01,111.01,107.55,110.38,57560431
10/5/15,110.08,111.37,109.07,110.78,51723110
10/6/15,110.63,111.74,109.76,111.31,48196751
10/7/15,110.47,111.77,109.41,110.78,46602587
10/8/15,110.06,110.19,108.21,109.5,61698450
